file_id,biosample_type,tissue,assay,strand,experiment_target,specie,dataset
SRX8409368,tissue,unifoliate leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8409367,tissue,unifoliate leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8409366,tissue,unifoliate leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8409365,tissue,unifoliate leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8409358,tissue,unifoliate leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8409357,tissue,unifoliate leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8410648,tissue,unifoliate leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8893374,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8893373,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8893368,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8893367,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9158098,tissue,newest mature trifoliate leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9158095,tissue,newest mature trifoliate leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594373,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594370,tissue,Nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594365,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594362,tissue,Nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594359,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594356,tissue,Nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594355,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594352,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594349,tissue,Nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594346,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594342,tissue,Nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594339,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594336,tissue,Nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX9594332,tissue,Nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10467241,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10467240,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10467237,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10467234,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10510822,tissue,hypocotyl,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10510819,tissue,hypocotyl,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10510816,tissue,hypocotyl,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10510813,tissue,hypocotyl,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10510809,tissue,hypocotyl,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10510806,tissue,hypocotyl,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10510803,tissue,hypocotyl,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10510799,tissue,hypocotyl,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10639331,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10722206,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10722209,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10722218,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10722222,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX10737905,tissue,Anther,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11001715,tissue,1 cm segment of the primary root tip,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11001718,tissue,1 cm segment of the primary root tip,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11001721,tissue,1 cm segment of the primary root tip,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11001724,tissue,1 cm segment of the primary root tip,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11079154,tissue,young pod,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11079152,tissue,flower bud,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080556,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080541,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080530,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080512,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080511,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080505,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080502,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080501,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080495,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080492,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080491,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11080485,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11188027,tissue,wild-type soybean 28-day root nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX11188025,tissue,wild-type soybean 28-day root nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX12722951,tissue,Unopened soybean buds,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX12722950,tissue,Unopened soybean buds,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX12722947,tissue,Unopened soybean buds,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX12722944,tissue,Unopened soybean buds,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX13445286,tissue,Leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX13445285,tissue,Leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX14392783,tissue,Soybean seedling,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX14392780,tissue,Soybean seedling,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX14392777,tissue,Soybean seedling,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX14392772,tissue,Soybean seedling,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX14783072,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX14783069,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX14783066,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX14783061,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15760300,tissue,Leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15760297,tissue,Leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15760294,tissue,Leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872988,tissue,root and/or nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872985,tissue,root and/or nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872982,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872975,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872972,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872968,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872965,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872962,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872959,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872958,tissue,root and/or nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872955,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872952,tissue,root and/or nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872949,tissue,root and/or nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872945,tissue,root and/or nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872942,tissue,root and/or nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872939,tissue,root and/or nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15872935,tissue,root and/or nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15893222,tissue,leaf tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15893219,tissue,leaf tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15893214,tissue,leaf tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15893211,tissue,leaf tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15955945,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15955942,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15959775,tissue,soybean root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15959771,tissue,soybean root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15959745,tissue,soybean root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX15959723,tissue,soybean root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116938,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116937,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116936,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116935,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116934,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116933,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116932,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116931,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116930,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116929,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116928,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16116927,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504105,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504102,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504098,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504095,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504091,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504088,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504085,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504082,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504081,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504078,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504075,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504072,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504068,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504065,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504062,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX16504058,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17014772,tissue,Leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17014769,tissue,Leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17014766,tissue,Leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17016379,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17016378,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17016373,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17016372,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17016369,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17016368,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17018832,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17018829,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17018826,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17018823,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17018819,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17018816,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17018813,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17018809,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17058403,tissue,Glycine max seed,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17058386,tissue,Glycine max seed,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17065291,tissue,soybean root nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17065287,tissue,soybean root nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17374600,tissue,soybean nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17374597,tissue,soybean nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17374596,tissue,soybean nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17374595,tissue,soybean nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17437306,tissue,Leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17437303,tissue,Leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17596853,tissue,Pods,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17596850,tissue,Pods,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17596847,tissue,Pods,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17596844,tissue,Pods,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX17809378,tissue,Flower bud,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18096361,tissue,nutrition tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18096358,tissue,nutrition tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18096355,tissue,nutrition tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18096338,tissue,nutrition tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18242305,tissue,Flower bud,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18272200,tissue,bud (BUD),RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289139,tissue,Stigma,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289134,tissue,Stigma,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289133,tissue,Stigma,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289130,tissue,Stigma,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289127,tissue,Ovary,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289124,tissue,Ovary,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289121,tissue,Ovary,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289118,tissue,Ovary,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289114,tissue,Anther,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289112,tissue,Anther,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289109,tissue,Anther,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289106,tissue,Anther,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289103,tissue,Sepal,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289100,tissue,Sepal,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289097,tissue,Sepal,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18289094,tissue,Sepal,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18323250,tissue,leaves,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18953354,tissue,soybean root nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX18953351,tissue,soybean root nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19311037,tissue,roots,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19311034,tissue,roots,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19336217,tissue,leaf tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19336214,tissue,leaf tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19336211,tissue,leaf tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19336206,tissue,leaf tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19377342,tissue,Flower bud,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19377336,tissue,Flower bud,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19546133,tissue,soybean hairy root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19782757,tissue,Callus,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19782754,tissue,Callus,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19782751,tissue,Callus,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19782747,tissue,Callus,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19782744,tissue,Callus,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19782741,tissue,Callus,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19782737,tissue,Callus,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19859540,tissue,2 cm root sections including the root tip,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19859537,tissue,2 cm root sections including the root tip,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX19859534,tissue,2 cm root sections including the root tip,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20211170,tissue,Nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20395368,tissue,Root (hairy root),RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20395365,tissue,Root (hairy root),RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20403225,tissue,Root tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20403222,tissue,Root tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20403218,tissue,Root tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20403215,tissue,Root tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20403211,tissue,Root tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20403208,tissue,Root tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20403205,tissue,Root tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20403202,tissue,Root tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX20403201,tissue,Root tissue,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
