file_id,biosample_type,tissue,assay,strand,experiment_target,specie,dataset
SRX2083368,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2083494,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2083577,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2083637,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2083639,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2083640,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2083641,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2083643,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2083644,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2219902,tissue,Rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2219907,tissue,Rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2270969,tissue,Roots,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2351622,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2351624,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2351626,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2351628,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2351630,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2354656,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2354659,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2375235,tissue,7-day-old whole seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2375236,tissue,7-day-old whole seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2424758,tissue,seedlings (whole seedling),RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2424759,tissue,seedlings (whole seedling),RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2481977,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2481978,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2511081,tissue,Roots,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2513381,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2513387,tissue,flower bud,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2513390,tissue,flower bud,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2549225,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2549228,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2549231,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2613511,tissue,whole Arabidopsis seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2613514,tissue,whole Arabidopsis seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2658919,tissue,seed,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771272,tissue,cauline leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771274,tissue,cauline leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771276,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771278,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771280,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771282,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771284,tissue,cauline leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771286,tissue,cauline leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771288,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771290,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771292,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771294,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2771296,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2902557,tissue,the aerial parts of seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940619,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940609,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940605,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940601,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940599,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940596,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940547,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940546,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940544,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940539,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940534,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940532,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940529,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2940524,tissue,rosette,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2996144,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2996145,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3008338,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3008341,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3008344,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3008347,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3174300,tissue,Leaf mesophyll protoplasts,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3174291,tissue,Leaf mesophyll protoplasts,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3200195,tissue,cauline leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3200192,tissue,cauline leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3200191,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3200189,tissue,pistil,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3275173,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3383493,tissue,whole seedlings of Arabidopsis thaliana (12-day-old),RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3383492,tissue,whole seedlings of Arabidopsis thaliana (12-day-old),RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3383885,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3383880,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3383878,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3383877,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3401240,tissue,Leaf 6 and 7,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3529727,tissue,Arabidopsis thaliana root meristematic zone,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3529730,tissue,Arabidopsis thaliana root meristematic zone,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3627485,tissue,Germinating seed,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3744342,tissue,flower,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3744339,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3744367,tissue,Whole plant,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3744363,tissue,Whole plant,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3762113,tissue,Leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3778417,tissue,Whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3778415,tissue,Whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3851756,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3851757,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3923162,tissue,Root epidermis,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3923165,tissue,Root epidermis,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX3923168,tissue,Root epidermis,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4020067,tissue,Arabidopsis leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4020066,tissue,Arabidopsis leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4020064,tissue,Arabidopsis leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4020060,tissue,Arabidopsis leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4020054,tissue,Arabidopsis leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4020050,tissue,Arabidopsis leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4093040,tissue,seed,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4093036,tissue,seed,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120884,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120883,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120881,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120879,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120868,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120866,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120856,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120854,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120850,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4120846,tissue,Aerial part of plants,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4168292,tissue,shoots,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4168289,tissue,shoots,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4195883,tissue,aerial tissue,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335317,tissue,whole seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335320,tissue,whole seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335323,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335326,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335329,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335332,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335335,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335338,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335341,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335344,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335347,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4335350,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488646,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488632,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488631,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488622,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488620,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488618,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488615,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488613,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488612,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488611,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488608,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488590,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488587,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4488584,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4500616,tissue,silique,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4500605,tissue,silique,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4507688,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4507686,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4508529,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4508504,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4520740,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4520743,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4520746,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4547888,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4581508,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4581506,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4581504,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4581502,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4581500,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4581498,tissue,root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4639850,tissue,whole seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4639851,tissue,whole seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4641277,tissue,collet,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4641274,tissue,collet,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4641273,tissue,collet,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4641268,tissue,collet,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4681302,tissue,Arabidopsis thaliana seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4681313,tissue,Arabidopsis thaliana seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4734056,tissue,7-day-old whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781078,tissue,2-week-old seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781081,tissue,2-week-old seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781086,tissue,2-week-old seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781096,tissue,2-week-old seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781106,tissue,2-week-old seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781109,tissue,2-week-old seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781112,tissue,2-week-old seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781115,tissue,2-week-old seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781118,tissue,2-week-old seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781131,tissue,"Inflorescences, 5.5-week-old plant",RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX4781134,tissue,"Leaves, 5.5-week-old plant",RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX2902564,tissue,the aerial parts of seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5005409,tissue,Stems,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5005408,tissue,Stems,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5006596,tissue,seeds,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5178824,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5178826,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5178828,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5178830,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5178832,tissue,leaves,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5184290,tissue,seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5190410,tissue,seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237483,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237480,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237478,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237475,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237473,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237470,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237468,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237459,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237458,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237453,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237451,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237449,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5237445,tissue,shoot,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5270569,tissue,whole plant,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5356683,tissue,10-day-old Arabidopsis seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5356689,tissue,10-day-old Arabidopsis seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5462352,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5462353,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5466073,tissue,plant seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5466074,tissue,plant seedlings,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5485167,tissue,7-day-old Arabidopsis seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5540222,tissue,seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5571636,tissue,root tissue,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5571642,tissue,root tissue,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5571648,tissue,root tissue,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5608429,tissue,root and leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5794924,tissue,14-day-old Arabidopsis thaliana seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5794926,tissue,14-day-old Arabidopsis thaliana seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5794928,tissue,14-day-old Arabidopsis thaliana seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX5979127,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6043993,tissue,collet,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6043991,tissue,collet,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6046252,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6046251,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6051483,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6051481,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6051479,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6051477,tissue,rosette leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6073866,tissue,seedlings without root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6073854,tissue,seedlings without root,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6454262,tissue,5-day-old Arabidopsis seedling nuclei (deproteinized),RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6476269,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6476268,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6476267,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6476266,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6476265,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6476264,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6476263,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6476262,tissue,leaf,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6622805,tissue,seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6622799,tissue,seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6685518,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6685524,tissue,whole seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6685859,tissue,Shoot tissue of Arabidopsis thaliana seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6685858,tissue,Root tissue of Arabidopsis thaliana seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6685860,tissue,Shoot tissue of Arabidopsis thaliana seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX6685855,tissue,Root tissue of Arabidopsis thaliana seedling,RNA-seq,,RNA-seq,arabidopsis_thaliana,ncbi_rnaseq
SRX12330305,tissue,Leaf mesophyll,Histone ChIP-seq,,H3K4me3,zea_mays,ncbi_chrom_acc
