,ATAC-seq,CAGE,DNase-seq,Histone ChIP-seq,RNA-seq,TF ChIP-seq,polyA plus RNA-seq,total RNA-seq
ATAC-seq,0.5258899331092834,0.15118643641471863,0.3818705081939697,0.029375547543168068,0.01576286181807518,0.07314412295818329,0.008985418826341629,0.0009851960930973291
CAGE,0.15118643641471863,0.43017303943634033,0.13510675728321075,0.0285261832177639,0.009349202737212181,0.047469139099121094,0.01464172638952732,0.0013628345914185047
DNase-seq,0.3818705081939697,0.13510674238204956,0.38974666595458984,0.029714645817875862,0.010253404267132282,0.07842785865068436,0.007659056689590216,-0.002738382900133729
Histone ChIP-seq,0.029375549405813217,0.02852618135511875,0.029714645817875862,0.0804906040430069,0.04915158823132515,0.05800789222121239,0.03835335001349449,0.036122728139162064
RNA-seq,0.01576286181807518,0.009349203668534756,0.010253404267132282,0.04915158078074455,0.6769807934761047,0.039459120482206345,0.31077998876571655,0.2325279414653778
TF ChIP-seq,0.07314413040876389,0.047469135373830795,0.07842785865068436,0.05800789222121239,0.039459120482206345,0.1193058118224144,0.03180176764726639,0.029891574755311012
polyA plus RNA-seq,0.008985418826341629,0.01464172638952732,0.007659056689590216,0.03835335001349449,0.31078001856803894,0.03180176764726639,0.25248846411705017,0.18246275186538696
total RNA-seq,0.0009851960930973291,0.0013628348242491484,-0.002738382900133729,0.036122728139162064,0.2325279712677002,0.029891574755311012,0.18246275186538696,0.20187541842460632
