tissue,m1,m2,delta,n_within,pair
CL:0000236,DNase-seq,ChIP-seq:H3K27ac,0.1597030308429252,6.0,ChIP-seq:H3K27ac x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K27me3,-0.10963017533915911,9.0,ChIP-seq:H3K27me3 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K36me3,-0.04375309808879879,6.0,ChIP-seq:H3K36me3 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K4me1,-0.006722219695484703,6.0,ChIP-seq:H3K4me1 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K4me3,0.07297300655137068,12.0,ChIP-seq:H3K4me3 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K9ac,0.12200284163157145,3.0,ChIP-seq:H3K9ac x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K9me3,-0.025491578767528646,9.0,ChIP-seq:H3K9me3 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:CTCF,0.09113481206801331,3.0,ChIP-seq:CTCF x DNase-seq
CL:0000236,DNase-seq,polyA plus RNA-seq,0.02585617763834446,6.0,DNase-seq x polyA plus RNA-seq
CL:0000236,ChIP-seq:H3K27ac,DNase-seq,0.2069699083495818,6.0,ChIP-seq:H3K27ac x DNase-seq
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K27me3,-0.056942495726799776,6.0,ChIP-seq:H3K27ac x ChIP-seq:H3K27me3
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K36me3,0.035323254922603034,4.0,ChIP-seq:H3K27ac x ChIP-seq:H3K36me3
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K4me1,0.2622699051932559,4.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me1
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K4me3,0.26896765940594225,8.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me3
