assay_family,modality,tracks,biosamples
ChIP-seq,ChIP-seq:ZNF558,1,1
ChIP-seq,ChIP-seq:ZNF560,1,1
ChIP-seq,ChIP-seq:ZNF561,1,1
ChIP-seq,ChIP-seq:ZNF571,1,1
ChIP-seq,ChIP-seq:ZNF574,1,1
ChIP-seq,ChIP-seq:ZNF584,1,1
ChIP-seq,ChIP-seq:ZNF585B,1,1
ChIP-seq,ChIP-seq:ZNF589,1,1
ChIP-seq,ChIP-seq:ZNF596,1,1
ChIP-seq,ChIP-seq:ZNF600,1,1
ChIP-seq,ChIP-seq:ZNF610,1,1
ChIP-seq,ChIP-seq:ZNF614,1,1
ChIP-seq,ChIP-seq:ZNF621,1,1
ChIP-seq,ChIP-seq:ZNF623,1,1
ChIP-seq,ChIP-seq:ZNF624,1,1
ChIP-seq,ChIP-seq:ZNF629,1,1
ChIP-seq,ChIP-seq:ZNF645,1,1
ChIP-seq,ChIP-seq:ZNF652,1,1
ChIP-seq,ChIP-seq:ZNF654,1,1
ChIP-seq,ChIP-seq:ZNF658,1,1
ChIP-seq,ChIP-seq:ZNF660,1,1
ChIP-seq,ChIP-seq:ZNF664,1,1
ChIP-seq,ChIP-seq:ZNF670,1,1
ChIP-seq,ChIP-seq:ZNF677,1,1
ChIP-seq,ChIP-seq:ZNF680,1,1
ChIP-seq,ChIP-seq:ZNF692,1,1
ChIP-seq,ChIP-seq:ZNF7,1,1
ChIP-seq,ChIP-seq:ZNF701,1,1
ChIP-seq,ChIP-seq:ZNF704,1,1
ChIP-seq,ChIP-seq:ZNF707,1,1
ChIP-seq,ChIP-seq:ZNF747,1,1
ChIP-seq,ChIP-seq:ZNF76,1,1
ChIP-seq,ChIP-seq:ZNF766,1,1
ChIP-seq,ChIP-seq:ZNF770,1,1
ChIP-seq,ChIP-seq:ZNF776,1,1
ChIP-seq,ChIP-seq:ZNF777,1,1
ChIP-seq,ChIP-seq:ZNF785,1,1
ChIP-seq,ChIP-seq:ZNF791,1,1
ChIP-seq,ChIP-seq:ZNF8,1,1
ChIP-seq,ChIP-seq:ZNF83,1,1
ChIP-seq,ChIP-seq:ZNF837,1,1
ChIP-seq,ChIP-seq:ZNF843,1,1
ChIP-seq,ChIP-seq:ZSCAN16,1,1
ChIP-seq,ChIP-seq:ZSCAN18,1,1
ChIP-seq,ChIP-seq:ZSCAN21,1,1
ChIP-seq,ChIP-seq:ZSCAN23,1,1
ChIP-seq,ChIP-seq:ZSCAN26,1,1
ChIP-seq,ChIP-seq:ZSCAN30,1,1
ChIP-seq,ChIP-seq:ZSCAN4,1,1
ChIP-seq,ChIP-seq:ZSCAN5A,1,1
ChIP-seq,ChIP-seq:ZSCAN5C,1,1
ChIP-seq,ChIP-seq:ZSCAN9,1,1
ChIP-seq,ChIP-seq:ZXDB,1,1
DNase-seq,DNase-seq,573,221
RNA-seq,RNA-seq,929,199
polyA plus RNA-seq,polyA plus RNA-seq,558,119
