tissue,m1,m2,delta,n_within,pair
EFO:0002095,ChIP-seq:H3K27ac,ChIP-seq:CTCF,0.050810410600641495,4.0,ChIP-seq:CTCF x ChIP-seq:H3K27ac
EFO:0002095,ChIP-seq:CTCF,ChIP-seq:H3K27ac,0.047609612646391575,4.0,ChIP-seq:CTCF x ChIP-seq:H3K27ac
EFO:0002101,DNase-seq,RNA-seq,0.028867418926797415,2.0,DNase-seq x RNA-seq
EFO:0002101,RNA-seq,DNase-seq,0.02688676502336474,2.0,DNase-seq x RNA-seq
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:CTCF,0.0038095974042767385,6.0,ChIP-seq:CTCF x ChIP-seq:H3K27ac
EFO:0001086,ChIP-seq:H3K27ac,DNase-seq,0.1262147186183128,2.0,ChIP-seq:H3K27ac x DNase-seq
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H2AFZ,0.16589015451344577,2.0,ChIP-seq:H2AFZ x ChIP-seq:H3K27ac
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K27me3,-0.05198518595387859,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K27me3
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K4me1,0.08053716189331478,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K4me2,0.35035915481738555,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K4me3,0.34513487196324094,6.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K79me2,0.10403874686786108,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K9ac,0.5649023414939962,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K9ac
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K9me3,-0.07597914934158326,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K9me3
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H4K20me1,-0.02738378047943115,2.0,ChIP-seq:H3K27ac x ChIP-seq:H4K20me1
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:GABPA,0.12871131029996005,2.0,ChIP-seq:GABPA x ChIP-seq:H3K27ac
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:JUND,0.14017401521022504,2.0,ChIP-seq:H3K27ac x ChIP-seq:JUND
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:MYC,0.0973587989807129,2.0,ChIP-seq:H3K27ac x ChIP-seq:MYC
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:POLR2A,0.15483434014506153,4.0,ChIP-seq:H3K27ac x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:RAD21,0.037095098254772335,2.0,ChIP-seq:H3K27ac x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:REST,0.1285656274933564,4.0,ChIP-seq:H3K27ac x ChIP-seq:REST
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:TAF1,0.15743396878242494,2.0,ChIP-seq:H3K27ac x ChIP-seq:TAF1
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:YY1,0.16497652576519894,2.0,ChIP-seq:H3K27ac x ChIP-seq:YY1
EFO:0001086,ChIP-seq:H3K27ac,polyA plus RNA-seq,0.043020843104882675,16.0,ChIP-seq:H3K27ac x polyA plus RNA-seq
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K27ac,0.006899825549268225,6.0,ChIP-seq:CTCF x ChIP-seq:H3K27ac
EFO:0001086,ChIP-seq:CTCF,DNase-seq,0.03559849943433489,3.0,ChIP-seq:CTCF x DNase-seq
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H2AFZ,0.044066803924965134,3.0,ChIP-seq:CTCF x ChIP-seq:H2AFZ
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K27me3,0.009964579455955056,3.0,ChIP-seq:CTCF x ChIP-seq:H3K27me3
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K4me1,0.008638311630834346,3.0,ChIP-seq:CTCF x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K4me2,0.03860685993463565,3.0,ChIP-seq:CTCF x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K4me3,0.023154930756114925,9.0,ChIP-seq:CTCF x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K79me2,-0.008868891799024172,3.0,ChIP-seq:CTCF x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K9ac,0.009177186262650305,3.0,ChIP-seq:CTCF x ChIP-seq:H3K9ac
