file_id,biosample_type,tissue,assay,strand,experiment_target,species,dataset,modality_fine,modality_coarse,tissue_strict,expt_base,tissue_group
kai1,single_cell,A Cardiomyocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,a cardiomyocyte,kai1,a cardiomyocyte
kai2,single_cell,Acinar,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,acinar,kai2,acinar
kai3,single_cell,Adipocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,adipocyte,kai3,adipocyte
kai4,single_cell,Airway Goblet,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,airway goblet,kai4,airway goblet
kai5,single_cell,Alpha 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alpha 1,kai5,alpha 1
kai6,single_cell,Alpha 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alpha 2,kai6,alpha 2
kai7,single_cell,Alveolar Cap Endo,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alveolar cap endo,kai7,alveolar cap endo
kai8,single_cell,Alveolar Type 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alveolar type 1,kai8,alveolar type 1
kai10,single_cell,Alveolar Type 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alveolar type 2,kai10,alveolar type 2
kai9,single_cell,Alveolar Type 2 (Immune),ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alveolar type 2 (immune),kai9,alveolar type 2 (immune)
kai11,single_cell,Astrocyte 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,astrocyte 1,kai11,astrocyte 1
kai12,single_cell,Astrocyte 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,astrocyte 2,kai12,astrocyte 2
kai13,single_cell,BBB Endothelial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,bbb endothelial,kai13,bbb endothelial
kai14,single_cell,Beta 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,beta 1,kai14,beta 1
kai15,single_cell,Beta 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,beta 2,kai15,beta 2
kai16,single_cell,Cardiac Fibroblast,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac fibroblast,kai16,heart_family
kai17,single_cell,Cardiac Pericyte 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac pericyte 1,kai17,cardiac pericyte 1
kai18,single_cell,Cardiac Pericyte 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac pericyte 2,kai18,cardiac pericyte 2
kai19,single_cell,Cardiac Pericyte 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac pericyte 3,kai19,cardiac pericyte 3
kai20,single_cell,Cardiac Pericyte 4,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac pericyte 4,kai20,cardiac pericyte 4
kai21,single_cell,Chief,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,chief,kai21,chief
kai22,single_cell,Cilliated,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cilliated,kai22,cilliated
kai23,single_cell,Club,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,club,kai23,club
kai24,single_cell,Colon Epithelial 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,colon epithelial 1,kai24,colon epithelial 1
kai25,single_cell,Colon Epithelial 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,colon epithelial 2,kai25,colon epithelial 2
kai26,single_cell,Colon Epithelial 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,colon epithelial 3,kai26,colon epithelial 3
kai27,single_cell,Colon Goblet,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,colon goblet,kai27,colon goblet
kai28,single_cell,Cortical Epithelial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cortical epithelial,kai28,cortical epithelial
kai29,single_cell,Delta+Gamma,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,delta+gamma,kai29,delta+gamma
kai30,single_cell,Ductal,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,ductal,kai30,ductal
kai31,single_cell,Endocardial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,endocardial,kai31,endocardial
kai32,single_cell,Endothelial Exocrine,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,endothelial exocrine,kai32,endothelial exocrine
kai33,single_cell,Endothelial General 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,endothelial general 1,kai33,endothelial general 1
kai34,single_cell,Endothelial General 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,endothelial general 2,kai34,endothelial general 2
kai35,single_cell,Endothelial General 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,endothelial general 3,kai35,endothelial general 3
kai36,single_cell,Endothelial Myocardial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,endothelial myocardial,kai36,endothelial myocardial
kai37,single_cell,Enteric Neuron,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,enteric neuron,kai37,enteric neuron
kai38,single_cell,Enterochromaffin,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,enterochromaffin,kai38,enterochromaffin
kai39,single_cell,Enterocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,enterocyte,kai39,enterocyte
kai40,single_cell,Esophageal Epithelial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,esophageal epithelial,kai40,esophageal epithelial
kai41,single_cell,Fasciculata,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fasciculata,kai41,fasciculata
kai42,single_cell,Fetal A Cardiomyocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal a cardiomyocyte,kai42,fetal a cardiomyocyte
kai43,single_cell,Fetal Acinar 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal acinar 1,kai43,fetal acinar 1
kai44,single_cell,Fetal Acinar 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal acinar 2,kai44,fetal acinar 2
kai45,single_cell,Fetal Adrenal Cortical,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal adrenal cortical,kai45,fetal adrenal cortical
kai46,single_cell,Fetal Adrenal Neuron,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal adrenal neuron,kai46,fetal adrenal neuron
kai47,single_cell,Fetal Alveolar Cap Endo,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal alveolar cap endo,kai47,fetal alveolar cap endo
kai48,single_cell,Fetal Alveolar Epithelial 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal alveolar epithelial 1,kai48,fetal alveolar epithelial 1
kai49,single_cell,Fetal Alveolar Epithelial 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal alveolar epithelial 2,kai49,fetal alveolar epithelial 2
kai50,single_cell,Fetal Astrocyte 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal astrocyte 1,kai50,fetal astrocyte 1
kai51,single_cell,Fetal Astrocyte 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal astrocyte 2,kai51,fetal astrocyte 2
kai52,single_cell,Fetal Astrocyte 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal astrocyte 3,kai52,fetal astrocyte 3
kai53,single_cell,Fetal Astrocyte 4,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal astrocyte 4,kai53,fetal astrocyte 4
kai54,single_cell,Fetal Astrocyte 5,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal astrocyte 5,kai54,fetal astrocyte 5
kai55,single_cell,Fetal B Lymphocyte 1 (SPIB+),ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal b lymphocyte 1 (spib+),kai55,fetal b lymphocyte 1 (spib+)
kai56,single_cell,Fetal B Lymphocyte 2 (CXCR5+),ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal b lymphocyte 2 (cxcr5+),kai56,fetal b lymphocyte 2 (cxcr5+)
kai57,single_cell,Fetal B Lymphocyte 3 (NPY+),ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal b lymphocyte 3 (npy+),kai57,fetal b lymphocyte 3 (npy+)
kai58,single_cell,Fetal Cardiac Fibroblast,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal cardiac fibroblast,kai58,fetal cardiac fibroblast
kai59,single_cell,Fetal Cholangiocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal cholangiocyte,kai59,fetal cholangiocyte
kai60,single_cell,Fetal Chromaffin,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal chromaffin,kai60,fetal chromaffin
kai61,single_cell,Fetal Cilliated,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal cilliated,kai61,fetal cilliated
kai62,single_cell,Fetal Ductal,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal ductal,kai62,fetal ductal
kai63,single_cell,Fetal Endocardial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal endocardial,kai63,fetal endocardial
kai64,single_cell,Fetal Endothelial General 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal endothelial general 1,kai64,fetal endothelial general 1
kai65,single_cell,Fetal Endothelial General 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal endothelial general 2,kai65,fetal endothelial general 2
kai66,single_cell,Fetal Endothelial General 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal endothelial general 3,kai66,fetal endothelial general 3
kai67,single_cell,Fetal Endothelial Hepatic 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal endothelial hepatic 1,kai67,fetal endothelial hepatic 1
kai68,single_cell,Fetal Endothelial Hepatic 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal endothelial hepatic 2,kai68,fetal endothelial hepatic 2
kai69,single_cell,Fetal Endothelial Placental,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal endothelial placental,kai69,fetal endothelial placental
kai70,single_cell,Fetal Enteric Glia,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal enteric glia,kai70,fetal enteric glia
kai71,single_cell,Fetal Enteric Neuron,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal enteric neuron,kai71,fetal enteric neuron
kai72,single_cell,Fetal Enterocyte 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal enterocyte 1,kai72,fetal enterocyte 1
kai73,single_cell,Fetal Enterocyte 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal enterocyte 2,kai73,fetal enterocyte 2
kai74,single_cell,Fetal Enterocyte 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal enterocyte 3,kai74,fetal enterocyte 3
kai75,single_cell,Fetal Enteroendocrine,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal enteroendocrine,kai75,fetal enteroendocrine
kai76,single_cell,Fetal Erythroblast 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal erythroblast 1,kai76,fetal erythroblast 1
kai77,single_cell,Fetal Erythroblast 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal erythroblast 2,kai77,fetal erythroblast 2
kai78,single_cell,Fetal Erythroblast 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal erythroblast 3,kai78,fetal erythroblast 3
kai79,single_cell,Fetal Erythroblast 4,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal erythroblast 4,kai79,fetal erythroblast 4
kai80,single_cell,Fetal Erythroblast 5,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal erythroblast 5,kai80,fetal erythroblast 5
kai81,single_cell,Fetal Excitatory Neuron 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 1,kai81,fetal excitatory neuron 1
kai82,single_cell,Fetal Excitatory Neuron 10,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 10,kai82,fetal excitatory neuron 10
kai83,single_cell,Fetal Excitatory Neuron 11,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 11,kai83,fetal excitatory neuron 11
kai84,single_cell,Fetal Excitatory Neuron 12,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 12,kai84,fetal excitatory neuron 12
kai85,single_cell,Fetal Excitatory Neuron 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 2,kai85,fetal excitatory neuron 2
kai86,single_cell,Fetal Excitatory Neuron 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 3,kai86,fetal excitatory neuron 3
kai87,single_cell,Fetal Excitatory Neuron 4,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 4,kai87,fetal excitatory neuron 4
kai88,single_cell,Fetal Excitatory Neuron 5,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 5,kai88,fetal excitatory neuron 5
kai89,single_cell,Fetal Excitatory Neuron 6,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 6,kai89,fetal excitatory neuron 6
kai90,single_cell,Fetal Excitatory Neuron 7,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 7,kai90,fetal excitatory neuron 7
kai91,single_cell,Fetal Excitatory Neuron 8,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 8,kai91,fetal excitatory neuron 8
kai92,single_cell,Fetal Excitatory Neuron 9,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal excitatory neuron 9,kai92,fetal excitatory neuron 9
kai93,single_cell,Fetal Extravillous Trophoblast,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal extravillous trophoblast,kai93,fetal extravillous trophoblast
kai94,single_cell,Fetal Fibro GI,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro gi,kai94,fetal fibro gi
kai95,single_cell,Fetal Fibro General 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro general 1,kai95,fetal fibro general 1
kai96,single_cell,Fetal Fibro General 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro general 2,kai96,fetal fibro general 2
kai97,single_cell,Fetal Fibro General 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro general 3,kai97,fetal fibro general 3
kai98,single_cell,Fetal Fibro General 4,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro general 4,kai98,fetal fibro general 4
kai99,single_cell,Fetal Fibro General 5,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro general 5,kai99,fetal fibro general 5
kai100,single_cell,Fetal Fibro Muscle 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro muscle 1,kai100,fetal fibro muscle 1
kai101,single_cell,Fetal Fibro Placental 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro placental 1,kai101,fetal fibro placental 1
kai102,single_cell,Fetal Fibro Placental 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro placental 2,kai102,fetal fibro placental 2
kai103,single_cell,Fetal Fibro Splenic,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal fibro splenic,kai103,fetal fibro splenic
kai104,single_cell,Fetal Gastri Goblet,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal gastri goblet,kai104,fetal gastri goblet
kai105,single_cell,Fetal Goblet,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal goblet,kai105,fetal goblet
kai106,single_cell,Fetal Hematopoeitic Stem,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal hematopoeitic stem,kai106,fetal hematopoeitic stem
kai107,single_cell,Fetal Hepatoblast,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal hepatoblast,kai107,fetal hepatoblast
kai108,single_cell,Fetal Inhibitory Neuron 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal inhibitory neuron 1,kai108,fetal inhibitory neuron 1
kai109,single_cell,Fetal Inhibitory Neuron 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal inhibitory neuron 2,kai109,fetal inhibitory neuron 2
kai110,single_cell,Fetal Inhibitory Neuron 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal inhibitory neuron 3,kai110,fetal inhibitory neuron 3
kai111,single_cell,Fetal Inhibitory Neuron 4,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal inhibitory neuron 4,kai111,fetal inhibitory neuron 4
kai112,single_cell,Fetal Inhibitory Neuron 5,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal inhibitory neuron 5,kai112,fetal inhibitory neuron 5
kai113,single_cell,Fetal Islet,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal islet,kai113,fetal islet
kai114,single_cell,Fetal Lymphatic,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal lymphatic,kai114,fetal lymphatic
kai115,single_cell,Fetal Macrophage General 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal macrophage general 1,kai115,fetal macrophage general 1
kai116,single_cell,Fetal Macrophage General 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal macrophage general 2,kai116,fetal macrophage general 2
kai117,single_cell,Fetal Macrophage General 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal macrophage general 3,kai117,fetal macrophage general 3
kai118,single_cell,Fetal Macrophage General 4,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal macrophage general 4,kai118,fetal macrophage general 4
kai119,single_cell,Fetal Macrophage Hepatic 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal macrophage hepatic 1,kai119,fetal macrophage hepatic 1
kai120,single_cell,Fetal Macrophage Hepatic 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal macrophage hepatic 2,kai120,fetal macrophage hepatic 2
kai121,single_cell,Fetal Macrophage Hepatic 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal macrophage hepatic 3,kai121,fetal macrophage hepatic 3
kai122,single_cell,Fetal Macrophage Placental,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal macrophage placental,kai122,fetal macrophage placental
kai123,single_cell,Fetal Megakaryocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal megakaryocyte,kai123,fetal megakaryocyte
kai124,single_cell,Fetal Mesangial 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal mesangial 1,kai124,fetal mesangial 1
kai125,single_cell,Fetal Mesangial 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal mesangial 2,kai125,fetal mesangial 2
kai126,single_cell,Fetal Mesothelial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal mesothelial,kai126,fetal mesothelial
kai127,single_cell,Fetal Metanephric,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal metanephric,kai127,fetal metanephric
kai128,single_cell,Fetal Oligo Progenitor 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal oligo progenitor 2,kai128,fetal oligo progenitor 2
kai129,single_cell,Fetal Parietal+Chief,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal parietal+chief,kai129,fetal parietal+chief
kai130,single_cell,Fetal Photoreceptor,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal photoreceptor,kai130,fetal photoreceptor
kai131,single_cell,Fetal Placental Neuron,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal placental neuron,kai131,fetal placental neuron
kai132,single_cell,Fetal Pulmonary Neuroendocrine,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal pulmonary neuroendocrine,kai132,fetal pulmonary neuroendocrine
kai133,single_cell,Fetal Retinal Neuron,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal retinal neuron,kai133,fetal retinal neuron
kai134,single_cell,Fetal Retinal Pigment,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal retinal pigment,kai134,fetal retinal pigment
kai135,single_cell,Fetal Retinal Progenitor 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal retinal progenitor 1,kai135,fetal retinal progenitor 1
kai136,single_cell,Fetal Retinal Progenitor 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal retinal progenitor 2,kai136,fetal retinal progenitor 2
kai137,single_cell,Fetal Satellite 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal satellite 1,kai137,fetal satellite 1
kai138,single_cell,Fetal Satellite 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal satellite 2,kai138,fetal satellite 2
kai139,single_cell,Fetal Schwann General,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal schwann general,kai139,fetal schwann general
kai140,single_cell,Fetal Skeletal Myocyte 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal skeletal myocyte 1,kai140,fetal skeletal myocyte 1
kai141,single_cell,Fetal Skeletal Myocyte 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal skeletal myocyte 2,kai141,fetal skeletal myocyte 2
kai142,single_cell,Fetal Skeletal Myocyte 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal skeletal myocyte 3,kai142,fetal skeletal myocyte 3
kai143,single_cell,Fetal Stellate,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal stellate,kai143,fetal stellate
kai144,single_cell,Fetal Sympathoblast,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal sympathoblast,kai144,fetal sympathoblast
kai145,single_cell,Fetal Syncitio+Cytotrophoblast,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal syncitio+cytotrophoblast,kai145,fetal syncitio+cytotrophoblast
kai146,single_cell,Fetal T Lymphocyte 1 (CD4+),ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal t lymphocyte 1 (cd4+),kai146,fetal t lymphocyte 1 (cd4+)
kai147,single_cell,Fetal T Lymphocyte 2 (Cytotoxic),ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal t lymphocyte 2 (cytotoxic),kai147,fetal t lymphocyte 2 (cytotoxic)
kai148,single_cell,Fetal T Lymphocyte 3 (IL2+),ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal t lymphocyte 3 (il2+),kai148,fetal t lymphocyte 3 (il2+)
kai149,single_cell,Fetal T Lymphocyte 4 (FASLG+),ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal t lymphocyte 4 (faslg+),kai149,fetal t lymphocyte 4 (faslg+)
kai150,single_cell,Fetal Thymocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal thymocyte,kai150,fetal thymocyte
kai151,single_cell,Fetal Ureteric Bud,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal ureteric bud,kai151,fetal ureteric bud
kai152,single_cell,Fetal V Cardiomyocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fetal v cardiomyocyte,kai152,fetal v cardiomyocyte
kai153,single_cell,Fibro Epithelial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fibro epithelial,kai153,fibro epithelial
kai154,single_cell,Fibro GI,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fibro gi,kai154,fibro gi
kai155,single_cell,Fibro General,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fibro general,kai155,fibro general
kai156,single_cell,Fibro Liver Adrenal,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fibro liver adrenal,kai156,fibro liver adrenal
kai157,single_cell,Fibro Muscle,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fibro muscle,kai157,fibro muscle
kai158,single_cell,Fibro Nerve,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,fibro nerve,kai158,fibro nerve
kai159,single_cell,Follicular,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,follicular,kai159,follicular
kai160,single_cell,Foveolar,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,foveolar,kai160,foveolar
kai161,single_cell,GABA 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,gaba 1,kai161,gaba 1
kai162,single_cell,GABA 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,gaba 2,kai162,gaba 2
kai163,single_cell,Gastric Neuroendocrine,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,gastric neuroendocrine,kai163,gastric neuroendocrine
kai164,single_cell,Glomerulosa,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,glomerulosa,kai164,glomerulosa
kai165,single_cell,Glutamatergic 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,glutamatergic 1,kai165,glutamatergic 1
kai166,single_cell,Glutamatergic 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,glutamatergic 2,kai166,glutamatergic 2
kai167,single_cell,Hepatocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,hepatocyte,kai167,liver_family
kai168,single_cell,Keratinocyte 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,keratinocyte 1,kai168,keratinocyte 1
kai169,single_cell,Keratinocyte 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,keratinocyte 2,kai169,keratinocyte 2
kai170,single_cell,Luteal,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,luteal,kai170,luteal
kai171,single_cell,Lymphatic,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,lymphatic,kai171,lymphatic
kai172,single_cell,Macrophage Gen or Alv,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,macrophage gen or alv,kai172,macrophage gen or alv
kai173,single_cell,Macrophage General,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,macrophage general,kai173,macrophage general
kai174,single_cell,Mammary Basal Epi,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,mammary basal epi,kai174,mammary basal epi
kai175,single_cell,Mammary Epithelial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,mammary epithelial,kai175,mammary epithelial
kai176,single_cell,Mammary Luminal Epi 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,mammary luminal epi 1,kai176,mammary luminal epi 1
kai177,single_cell,Mammary Luminal Epi 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,mammary luminal epi 2,kai177,mammary luminal epi 2
kai178,single_cell,Mast,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,mast,kai178,mast
kai179,single_cell,Melanocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,melanocyte,kai179,melanocyte
kai180,single_cell,Memory B,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,memory b,kai180,memory b
kai181,single_cell,Mesothelial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,mesothelial,kai181,mesothelial
kai182,single_cell,Microglia,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,microglia,kai182,microglia
kai183,single_cell,Myoepithelial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,myoepithelial,kai183,myoepithelial
kai184,single_cell,Naive T,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,naive t,kai184,naive t
kai185,single_cell,Natural Killer T,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,natural killer t,kai185,natural killer t
