tissue,m1,m2,delta,n_within,pair
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:JUND,0.06968647241592406,3.0,ChIP-seq:CTCF x ChIP-seq:JUND
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:MYC,0.1217402696609497,3.0,ChIP-seq:CTCF x ChIP-seq:MYC
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:POLR2A,0.015796248659943085,6.0,ChIP-seq:CTCF x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:RAD21,0.12471173054132706,3.0,ChIP-seq:CTCF x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:REST,0.024154018414647954,6.0,ChIP-seq:CTCF x ChIP-seq:REST
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:TAF1,0.0019935210545857646,3.0,ChIP-seq:CTCF x ChIP-seq:TAF1
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:YY1,0.05728279245205414,3.0,ChIP-seq:CTCF x ChIP-seq:YY1
EFO:0001086,ChIP-seq:CTCF,polyA plus RNA-seq,0.006305045137802761,24.0,ChIP-seq:CTCF x polyA plus RNA-seq
EFO:0001086,DNase-seq,ChIP-seq:H3K27ac,0.16235706250229223,2.0,ChIP-seq:H3K27ac x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:CTCF,0.045289493931664364,3.0,ChIP-seq:CTCF x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:H2AFZ,0.061348369853063064,1.0,ChIP-seq:H2AFZ x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:H3K27me3,-0.04312223420152819,1.0,ChIP-seq:H3K27me3 x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:H3K4me1,-0.10445555855357458,1.0,ChIP-seq:H3K4me1 x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:H3K4me2,0.13216315515530416,1.0,ChIP-seq:H3K4me2 x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:H3K4me3,0.07343289960687534,3.0,ChIP-seq:H3K4me3 x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:H3K79me2,-0.024358143284916877,1.0,ChIP-seq:H3K79me2 x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:H3K9ac,0.11369438100886602,1.0,ChIP-seq:H3K9ac x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:H3K9me3,-0.06494427905671267,1.0,ChIP-seq:H3K9me3 x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:H4K20me1,-0.02679726215345519,1.0,ChIP-seq:H4K20me1 x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:GABPA,0.20460971377112647,1.0,ChIP-seq:GABPA x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:JUND,0.3515852506344135,1.0,ChIP-seq:JUND x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:MYC,0.18786870837211608,1.0,ChIP-seq:MYC x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:POLR2A,0.17083746078726533,2.0,ChIP-seq:POLR2A x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:RAD21,0.09709170002203721,1.0,ChIP-seq:RAD21 x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:REST,0.12734024618801318,2.0,ChIP-seq:REST x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:TAF1,0.10745124220848083,1.0,ChIP-seq:TAF1 x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:YY1,0.16061310584728533,1.0,ChIP-seq:YY1 x DNase-seq
EFO:0001086,DNase-seq,polyA plus RNA-seq,0.019849363601568974,8.0,DNase-seq x polyA plus RNA-seq
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:H3K27ac,0.18565256492706692,2.0,ChIP-seq:H2AFZ x ChIP-seq:H3K27ac
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:CTCF,0.058783707353803845,3.0,ChIP-seq:CTCF x ChIP-seq:H2AFZ
EFO:0001086,ChIP-seq:H2AFZ,DNase-seq,0.035693242332013715,1.0,ChIP-seq:H2AFZ x DNase-seq
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:H3K27me3,0.08002936743139252,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K27me3
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:H3K4me1,0.21778124097793822,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:H3K4me2,0.3478305156414325,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:H3K4me3,0.26658538824960953,3.0,ChIP-seq:H2AFZ x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:H3K79me2,-0.08153797813824246,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:H3K9ac,0.25234214208459343,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K9ac
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:H3K9me3,0.0788893491403827,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K9me3
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:H4K20me1,-0.008626420556434563,1.0,ChIP-seq:H2AFZ x ChIP-seq:H4K20me1
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:GABPA,0.05989239432594993,1.0,ChIP-seq:GABPA x ChIP-seq:H2AFZ
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:JUND,0.06145765231205867,1.0,ChIP-seq:H2AFZ x ChIP-seq:JUND
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:MYC,0.16427582800388335,1.0,ChIP-seq:H2AFZ x ChIP-seq:MYC
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:POLR2A,0.012880281194463952,2.0,ChIP-seq:H2AFZ x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:RAD21,0.09118195680471566,1.0,ChIP-seq:H2AFZ x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:REST,0.05660401402335418,2.0,ChIP-seq:H2AFZ x ChIP-seq:REST
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:TAF1,0.08106465339660644,1.0,ChIP-seq:H2AFZ x ChIP-seq:TAF1
EFO:0001086,ChIP-seq:H2AFZ,ChIP-seq:YY1,0.09063700987742497,1.0,ChIP-seq:H2AFZ x ChIP-seq:YY1
EFO:0001086,ChIP-seq:H2AFZ,polyA plus RNA-seq,0.014938893473961136,8.0,ChIP-seq:H2AFZ x polyA plus RNA-seq
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:H3K27ac,-0.05777741029791768,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K27me3
EFO:0001086,ChIP-seq:H3K27me3,ChIP-seq:CTCF,0.03110505723290973,3.0,ChIP-seq:CTCF x ChIP-seq:H3K27me3
