,ATAC-seq,CAGE,DNase-seq,Histone ChIP-seq,RNA-seq,TF ChIP-seq,polyA plus RNA-seq,total RNA-seq
ATAC-seq,0.4345468282699585,0.10588354617357254,0.3023466169834137,0.05269733443856239,0.05990324169397354,0.08569211512804031,0.04010389745235443,0.03632295876741409
CAGE,0.10588354617357254,0.4093063473701477,0.09579421579837799,0.04814578592777252,0.06747359037399292,0.06008940562605858,0.05880343168973923,0.053007375448942184
DNase-seq,0.3023466169834137,0.09579421579837799,0.3470354676246643,0.05185701325535774,0.05252157896757126,0.09097745269536972,0.03591396287083626,0.027991393581032753
Histone ChIP-seq,0.052697330713272095,0.04814578592777252,0.05185701325535774,0.09045279026031494,0.0664316937327385,0.07102818787097931,0.05116596072912216,0.04752247408032417
RNA-seq,0.05990324169397354,0.06747359037399292,0.052521586418151855,0.0664316937327385,0.6704502105712891,0.06257558614015579,0.31779882311820984,0.24282480776309967
TF ChIP-seq,0.08569211512804031,0.06008940562605858,0.09097744524478912,0.07102818787097931,0.06257559359073639,0.13336296379566193,0.04859083890914917,0.045779600739479065
polyA plus RNA-seq,0.04010389745235443,0.05880343168973923,0.03591396287083626,0.05116595700383186,0.3177988529205322,0.04859083890914917,0.2635654807090759,0.19730165600776672
total RNA-seq,0.03632296249270439,0.053007375448942184,0.027991393581032753,0.04752247780561447,0.24282480776309967,0.045779600739479065,0.19730167090892792,0.21810777485370636
