pc,explained_variance_ratio
1,0.06986102456263858
2,0.06038667355736894
3,0.04279091803250869
4,0.03142658583864156
5,0.029863242364865733
6,0.016885727877561357
7,0.014342662023965997
8,0.011466261551734275
9,0.010487719300649621
10,0.00951358939911696
11,0.008699297967601136
12,0.00802020501413603
13,0.007623101769682852
14,0.007431106510564878
15,0.006760187838736472
16,0.006513351228038261
17,0.005800631078888833
18,0.005690226144437993
19,0.0053216177185968746
20,0.005096939699796913
21,0.00501850277184729
22,0.004953674651960042
23,0.004914776968948738
24,0.004785617245383972
25,0.004554946078786735
26,0.004429278732979481
27,0.004252665436823655
28,0.004219702328659096
29,0.00417938238263105
30,0.004102003946172196
31,0.00393227999077495
32,0.0038453621889554764
33,0.0037352872767234947
34,0.003531800834712456
35,0.003487260517621209
36,0.0034217662954226496
37,0.0033823814208734713
38,0.0033625129695606082
39,0.0032774328011903504
40,0.0032403418243555533
41,0.0032053797076722736
42,0.0031585604021378373
43,0.0031214766002938495
44,0.0031090498200647184
45,0.0030241254768837694
46,0.0029667605516708047
47,0.0029387560885798707
48,0.002928355529259238
49,0.0028626101469824933
50,0.0028159040690498506
