observed_delta,n_cells,n_tissues,n_modality_pairs,frac_cells_positive,null_mean,null_sd,z_vs_null,p_permutation,n_perm,cohen_d_pooled,auc_approx,tissue_col,modality_col,strata,checkpoint,variant
0.02175910016391877,618,224,10,0.7588996763754046,5.5045354099329894e-06,0.0007064802974213849,30.791510687429348,0.000999000999000999,1000,0.504130591988704,0.6392572500118141,tissue_strict,modality_coarse,modality_coarse,650M,raw
0.022538208145908636,514,178,10,0.7431906614785992,3.214257293183791e-06,0.000796648794035302,28.28723781086507,0.000999000999000999,1000,0.5254679928279928,0.6448904998487164,tissue_group,modality_coarse,modality_coarse,650M,raw
0.017487609219117753,618,224,10,0.6974110032362459,1.4393903461537412e-05,0.0007205638281584525,24.249365056684255,0.000999000999000999,1000,0.4017031063535418,0.6118128150983665,tissue_strict,modality_coarse,modality_coarse,650M,gain
0.017991823050892877,514,178,10,0.6867704280155642,1.4212737760234608e-05,0.0008093564106755749,22.212229465294058,0.000999000999000999,1000,0.41671377407496946,0.6158736224878655,tissue_group,modality_coarse,modality_coarse,650M,gain
0.017797070480403077,618,224,10,0.7233009708737864,9.112350758220307e-06,0.0008551731911373531,20.800416002269014,0.000999000999000999,1000,0.35459185053043285,0.5989902307936776,tissue_strict,modality_coarse,modality_coarse,100M,raw
0.018337921129303988,514,178,10,0.7217898832684825,3.796353372238193e-06,0.0009696905193105102,18.907191945083742,0.000999000999000999,1000,0.3662587673000058,0.6021762295913125,tissue_group,modality_coarse,modality_coarse,100M,raw
0.01566383368825805,618,224,10,0.6974110032362459,1.4909195280859882e-05,0.000839950683964642,18.630765819622734,0.000999000999000999,1000,0.31516712728169366,0.5881765253056869,tissue_strict,modality_coarse,modality_coarse,100M,gain
0.016147938781084042,514,178,10,0.6945525291828794,1.7056156511870617e-05,0.0009530970890312468,16.924700337683362,0.000999000999000999,1000,0.3275416795212586,0.5915783426880394,tissue_group,modality_coarse,modality_coarse,100M,gain
